Job_Description,0-2_Years,2-5_Years,5-10_Years,10-15_Years,20+_Years
Arts Media - Marketing Specialist,5500,7000,9000,11500,14000
Arts Media - Social Media Manager,5000,6500,8500,10500,13000
Consulting - IT Consultant,11725,16335,20000,23000,26000
Consulting - Management Consultant,11000,14000,18000,24000,32000
Consulting - Management Consultant MBB,11250,15000,20000,26500,45000
Consulting - Business Consultant,6500,7851,9500,11500,13500
Consulting - SAP Consultant,8184,12000,15438,18500,22000
Consulting - Project Manager Junior,8400,10000,12000,14000,16500
Other - HR Specialist,6000,7500,9500,11500,13500
Other - HR Manager,7500,10000,13500,17000,20000
Other - Recruiter,5500,7000,9000,11000,13000
Other - Administrative Assistant,4800,5500,6500,7500,8500
Other - Executive Assistant,7000,9000,11500,14000,16500
Other - Customer Service Representative,4500,5200,6000,6800,7500
Other - Call Center Agent,4666,5200,5800,6400,7000
Other - Security Guard,4800,5300,5800,6300,6800
Other - Cleaner,4666,5000,5400,5700,6000
Other - Translator,6000,7500,9500,12000,15000
Other - Interpreter,7000,9000,12000,15000,18000
Other - Librarian,5000,6000,7500,9000,10500
Other - Social Worker,5500,6500,8000,9500,11000
Other - Psychologist,6500,8500,11000,13500,16000
Other - Physiotherapist,6000,7500,9500,11500,13500
Other - Occupational Therapist,5800,7200,9200,11000,12800
Other - Speech Therapist,5500,6800,8500,10200,11800
Other - Dental Hygienist,5000,6200,7800,9200,10500
Other - Medical Laboratory Technician,5200,6500,8200,9800,11200
Other - Radiologic Technician,6000,7500,9500,11500,13200
Other - Paramedic,5500,6800,8500,10200,11800
Other - Firefighter,6000,7500,9500,11500,13500
Other - Police Officer,6500,8000,10000,12000,14000
AVERAGE - Polish Worker General,5750,7250,8670,10250,12250
